Kloeke;pronomen;predicaat;category;source
A001p;dou;bist;du_bist;
A001p;dou;bist;du_bist;
A001q;do;bist;du_bist;
A001q;do;bist;du_bist;
A002p;do;bist;du_bist;
A002p;do;bist;du_bist;
A006p;jij;bent;jij_bent;
A006p;jij;bent;jij_bent;
B001a;jou;binne;jij_bent;
B001a;jou;ben;jij_bent;
B004p;do;bist;du_bist;
B007p;do;bist;du_bist;
B007p;do;bist;du_bist;
B013b;do;benst;du_bist;
B013b;do;benst;du_bist;
B029p;du;bist;du_bist;
B035p;dau;bist;du_bist;
B035p;du;bist;du_bist;
B046b;do;benst;du_bist;
B046b;do;benst;du_bist;
B052a;do;bist;du_bist;
B062p;oe;benst;du_bist;
B062p;doe;benst;du_bist;
B085c;do;benste;du_bist;
B085c;do;benst;du_bist;
B127p;doe;benst;du_bist;
B127p;do;benst;du_bist;
B128a;do;biste;du_bist;
B128a;do;bist;du_bist;
C023p;doe;bis;du_bist;
C023p;du;bis;du_bist;
C029p;du;bis;du_bist;
C041a;doe;bis;du_bist;
C070p;doe;bis;du_bist;
C108p;doe;bis;du_bist;
C108p;dou;bist;du_bist;
C123p;doe;bist;du_bist;
C146z;jij;bent;jij_bent;
C146z;jij;bent;jij_bent;
C148p;jij;ben;jij_bent;
C156a;doe;bist;du_bist;
C165p;doe;bist;du_bist;
C175p;jij;bent;jij_bent;
C175p;jij;bent;jij_bent;
C181p;du;bent;du_bent;
C192p;doe;bist;du_bist;
C192p;du;bist;du_bist;
D003p;jij;ben;jij_bent;
E004p;jij;ben;jij_bent;
E008p;jij;ben;jij_bent;
E014a;jij;benne;jij_bent;
E016p;die;is;die_is;
E017p;jij;ben;jij_bent;
E038a;jij;ben;jij_bent;
E051p;jij;ben;jij_bent;
E067q;je;bent;jij_bent;
E079p;jij;bent;jij_bent;
E079p;jij;bent;jij_bent;
E091p;jij;bent;jij_bent;
E092p;jij;binne;jij_bent;
E109p;jij;bent;jij_bent;
E117p;jij;ben;jij_bent;
E121p;jij;ben;jij_bent;
E127p;jij;binnen;jij_bent;
E130p;jie;ben;jij_bent;
E130p;jij;bent;jij_bent;
E134p;jij;ben;jij_bent;
E170p;jij;ben;jij_bent;
E183p;jij;bent;jij_bent;
E192p;jij;bent;jij_bent;
E206p;jij;bent;jij_bent;
F002a;do;best;du_bist;
F002p;doe;benst;du_bist;
F002p;du;benst;du_bist;
F013b;do;bist;du_bist;
F013p;doe;benst;du_bist;
F013p;do;benst;du_bist;
F022p;je;ben;jij_bent;
F022p;ie;bent;jij_bent;
F036q;do;benst;du_bist;
F036q;do;bist;du_bist;
F038p;do;bist;du_bist;
F038p;do;bist;du_bist;
F043p;ie;bin;jij_bent;
F044p;ie;bin;jij_bent;
F051p;ie;bent;jij_bent;
F051p;ie;bent;jij_bent;
F056p;je;bin;jij_bent;
F060p;je;ben;jij_bent;
F061a;ie;bint;jij_bent;
F070p;ie;ben;jij_bent;
F074p;ie;bint;jij_bent;
F077p;jie;benne;jij_bent;
F077p;jie;ben;jij_bent;
F087p;ie;bent;jij_bent;
F102a;ie;bin;jij_bent;
F102a;ie;bint;jij_bent;
F102p;ie;bint;jij_bent;
F107a;je;bin;jij_bent;
F107a;ie;ben;jij_bent;
F112p;die;benne;die_ben;
F113p;iej;bint;jij_bent;
F121p;jie;ben;jij_bent;
F121p;jie;bin;jij_bent;
F133p;je;bint;jij_bent;
F142p;je;bent;jij_bent;
F149p;je;ben;jij_bent;
F155p;ie;bint;jij_bent;
F158p;ie;bint;jij_bent;
F161p;jie;bint;jij_bent;
F161p;ie;ben;jij_bent;
F171p;jie;bin;jij_bent;
F172p;jie;bint;jij_bent;
F174p;ie;bin;jij_bent;
F174p;ie;ben;jij_bent;
F178p;die;bin;die_ben;
F178p;ie;bent;jij_bent;
F204p;jij;bent;jij_bent;
F204p;je;bent;jij_bent;
G001b;jo;binne;jij_bent;
G001p;je;ben;jij_bent;
G006p;ie;bent;jij_bent;
G007p;je;bent;jij_bent;
G009p;j;ben;jij_bent;
G030p;ie;bint;jij_bent;
G039p;doe;bist;du_bist;
G055p;jij;bent;jij_bent;
G058p;jij;bent;jij_bent;
G062a;ie;is;ie_is;
G080p;jij;ben;jij_bent;
G081c;jij;bennen;jij_bent;
G094p;ee;bin;ee_bin;
G095p;ie;ben;jij_bent;
G140b;jie;bin;jij_bent;
G171p;ie;zind;jij_zijt;
G173p;ie;bin;ie_bin;
G177p;ie;bin;ie_bin;
G180p;j;bent;jij_bent;
G180p;doe;bint;du_bent;
G181q;doe;ben;du_bent;
G198p;j;zeit;jij_zijt;
G246p;ie;bunt;jij_bent;
G257p;ie;bent;jij_bent;
G280p;ie;bent;jij_bent;
H016p;jgie;zijt;gij_zijt;
H017p;ge;ziet;gij_zijt;
H036p;j;zijt;gij_zijt;
H046p;jgie;zijt;gij_zijt;
H051p;je;zie;gij_zijt;
H054p;jgie;zijt;gij_zijt;
H071p;jgie;zijt;gij_zijt;
H108p;jgie;zijt;gij_zijt;
H116p;jgie;zijt;gij_zijt;
H123p;jgij;ben;gij_zijt;
I002p;jij;bin;jij_bent;
I023p;joe;bent;jij_bent;
I029p;jij;ben;jij_bent;
I042p;joe;bint;jij_bent;
I049p;jie;bin;jij_bent;
I054p;jie;ben;jij_bent;
I057a;gij;zijd;gij_zijt;
I057p;jij;ben;jij_bent;
I061p;jie;bin;jij_bent;
I069p;jij;bent;jij_bent;
I074p;jie;bin;jij_bent;
I082p;jie;bin;jij_bent;
I095p;jie;bin;jij_bent;
I118p;gij;zijt;gij_zijt;
I123p;jie;sint;jij_zijt;
I137p;jie;ziet;jij_zijt;
I142p;gij;zij;gij_zijt;
I148p;gij;zijt;gij_zijt;
I156p;gij;zijt;gij_zijt;
I158p;gij;zijt;gij_zijt;
I161p;gij;zij;gij_zijt;
I163p;gij;zijt;gij_zijt;
I168c;gijt;zijt;gij_zijt;
I175p;ge;zijt;gij_zijt;
I178p;gij;zijt;gij_zijt;
I183a;gij;zijt;gij_zijt;
I187p;gij;zijt;gij_zijt;
I202p;gij;zijt;gij_zijt;
I208p;gij;zijt;gij_zijt;
