construction_type	year	place_full_name	lat	long	norm_lat	norm_long	dialect	distance_from_antwerp	context	gender	mentioned_users_count	user_id	username
bent	2012	Wuustwezel, België	51.39339174	51.39339174	51.38525	4.565174345040151	Brabants	16.6	inversion	female	0	user_id_1	username_1
bent	2012	Wuustwezel, België	51.39339101	51.39339101	51.38525	4.565174345040151	Brabants	16.6	inversion	female	0	user_id_1	username_1
bent	2012	Zwijndrecht, België	51.20285167	51.20285167	51.23086665	4.318607588394736	Brabants	33.79	inversion	female	1	user_id_2	username_2
bent	2012	Zwijndrecht, België	51.20282587	51.20282587	51.23086665	4.318607588394736	Brabants	33.79	inversion	female	1	user_id_2	username_2
bent	2012	Antwerp, Belgium	51.17412738	51.17412738	51.2211097	4.3997081	Brabants	28.85	inversion	female	0	user_id_3	username_3
bent	2012	Zwijndrecht, België	51.20284615	51.20284615	51.23086665	4.318607588394736	Brabants	33.79	other	female	2	user_id_2	username_2
bent	2012	Zwijndrecht, België	51.22109929	51.22109929	51.23086665	4.318607588394736	Brabants	33.79	inversion	male	0	user_id_4	username_4
bent	2012	Antwerp, Belgium	51.2247161	51.2247161	51.2211097	4.3997081	Brabants	28.85	main	male	1	user_id_5	username_5
bent	2012	Antwerp, Belgium	51.21981646	51.21981646	51.2211097	4.3997081	Brabants	28.85	main	male	0	user_id_6	username_6
bent	2012	Brecht, België	51.36348339	51.36348339	51.3484804	4.6398673	Brabants	10.26	other	female	0	user_id_7	username_7
bent	2012	Kortrijk, België	50.7309252	50.7309252	50.8276429	3.2659884	West-Vlaams	119.54	main	male	1	user_id_8	username_8
bent	2012	Antwerp, Belgium	51.21522244	51.21522244	51.2211097	4.3997081	Brabants	28.85	main	male	1	user_id_6	username_6
bent	2012	Brasschaat, België	51.29751746	51.29751746	51.2900693	4.4917295	Brabants	20.46	other	female	0	user_id_9	username_9
bent	2012	Brasschaat, België	51.29757007	51.29757007	51.2900693	4.4917295	Brabants	20.46	other	female	0	user_id_9	username_9
bent	2012	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	other	male	1	user_id_10	username_10
bent	2012	Brecht, België	51.3635207	51.3635207	51.3484804	4.6398673	Brabants	10.26	main	female	0	user_id_7	username_7
bent	2012	Brasschaat, België	51.29756055	51.29756055	51.2900693	4.4917295	Brabants	20.46	main	female	0	user_id_9	username_9
bent	2012	Antwerp, Belgium	51.26859827	51.26859827	51.2211097	4.3997081	Brabants	28.85	main	female	2	user_id_11	username_11
